resp_id,AQ1,AQ2,AQ3,AQ4,AQ5,AQ6,AQ7,AQ8,AQ9,AQ10,AQ11,AQ12,AQ13,AQ14,AQ15,AQ16,AQ17,aVersion,BQ1_1,BQ1_2,BQ2_1,BQ2_2,BQ3_1,BQ3_2,BQ4_1,BQ4_2,BQ5_1,BQ5_2,BQ6_1,BQ6_2,CQ1,CQ2,CQ3,CQ4,CQ5,CQ6,CQ7,CQ7_1,CQ7_2,CQ7_3,CQ7_4,CQ7_5,CQ7_6,CQ8,CQ9,CQ10
7,3,3,3,3,3,1,3,3,3,1,3,3,3,2,3,2,3,7,4,10,1,2,8,9,4,5,1,11,1,5,1,3,3,5,4,3,3,,,3,,,,1,2,3
9,1,1,2,1,2,3,3,3,2,1,1,3,2,2,2,1,1,9,3,5,11,2,10,5,8,4,3,6,7,8,1,3,3,7,4,4,"1, 2",1,2,,,,,2,6,11
13,3,3,3,3,3,1,3,3,3,1,3,3,3,2,3,2,3,3,2,7,1,6,5,6,1,10,3,6,3,8,2,3,1,5,4,2,5,,,,,5,,1,1,2
19,3,2,2,1,2,2,1,1,1,3,2,2,1,1,2,3,3,9,3,5,3,2,6,5,8,9,3,10,8,10,1,2,3,5,4,2,1,1,,,,,,1,2,5
20,3,3,3,3,2,1,3,3,2,3,3,3,2,2,3,2,3,0,3,10,7,11,7,4,3,10,1,4,3,11,1,2,1,5,4,2,1,1,,,,,,1,3,2
24,3,3,2,2,3,1,3,3,2,1,3,3,3,3,2,2,1,4,8,6,2,6,5,1,5,7,3,12,4,11,2,3,2,5,1,2,1,1,,,,,,1,1,2
30,1,2,2,2,2,1,3,2,2,3,3,3,2,3,2,3,3,0,3,10,4,7,4,7,3,10,4,5,3,11,2,3,2,5,4,5,5,,,,,5,,1,2,2
31,3,3,3,3,3,3,3,3,3,1,3,1,3,2,3,3,3,1,4,6,12,5,4,9,3,9,3,7,12,6,2,2,3,5,4,5,5,,,,,5,,1,1,1
46,2,2,2,2,2,1,2,3,2,1,3,3,3,2,3,3,1,6,8,5,9,10,4,6,4,8,1,7,8,11,1,5,2,5,4,2,5,,,,,5,,1,3,7
66,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,6,3,8,7,10,3,8,2,8,1,12,7,8,1,6,3,5,4,3,"1, 2",1,2,,,,,3,4,4
67,1,2,2,1,3,3,2,3,2,3,3,3,3,2,2,2,3,7,4,12,2,7,2,8,3,9,1,11,1,8,2,1,1,1,3,1,6,,,,,,6,1,2,3
72,3,2,2,2,3,3,2,1,3,3,1,3,2,2,2,2,3,2,1,8,3,12,1,12,4,12,5,12,2,12,1,1,1,1,3,2,4,,,,4,,,1,2,4
73,3,3,2,2,3,3,3,3,2,1,3,3,2,3,2,2,3,3,5,12,4,6,5,11,1,11,3,12,4,8,1,1,3,8,3,4,"3, 4",,,3,4,,,1,1,2
78,3,2,2,3,2,1,2,2,2,3,1,1,2,3,2,2,2,8,1,9,5,7,8,6,8,9,3,7,1,12,1,2,3,5,4,4,3,,,3,,,,1,1,1
82,3,3,3,3,3,1,3,3,3,1,1,3,3,2,3,2,3,2,1,7,3,8,1,11,1,7,5,11,2,7,2,1,3,5,4,2,5,,,,,5,,1,3,2
85,1,2,2,2,1,1,1,2,3,1,1,3,2,2,1,3,1,5,1,8,7,5,2,10,7,8,1,10,2,8,1,3,3,8,4,3,"1, 2",1,2,,,,,2,3,4
86,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,3,3,6,3,11,7,10,4,8,2,12,1,12,7,11,2,3,3,8,4,3,"1, 2",1,2,,,,,3,4,5
87,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,7,4,12,1,7,8,9,3,9,1,11,8,5,2,3,2,8,4,2,1,1,,,,,,1,2,1
92,1,3,3,2,1,1,3,2,2,2,1,3,2,2,3,3,1,2,1,8,3,8,1,11,1,12,5,11,2,6,2,1,3,1,4,3,3,,,3,,,,1,1,1
98,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,8,9,11,9,7,8,11,9,12,3,11,8,12,1,2,2,5,1,3,5,,,,,5,,1,5,3
99,3,3,3,3,3,1,3,3,3,1,3,3,3,2,3,3,3,9,1,5,2,11,2,10,4,10,1,10,1,10,2,1,3,6,3,1,6,,,,,,6,1,1,2
100,2,2,2,3,2,3,3,3,3,3,3,2,2,2,3,2,1,0,3,12,4,7,4,8,3,11,1,6,3,11,2,2,3,5,4,2,5,,,,,5,,1,4,2
102,1,3,2,2,2,1,3,3,2,3,1,3,2,3,2,2,3,2,1,10,3,12,1,12,1,12,9,12,2,12,2,2,3,5,4,1,6,,,,,,6,1,2,1
104,2,3,3,3,3,1,3,3,2,3,2,3,2,3,2,3,2,4,1,6,2,6,2,5,9,5,2,12,4,6,2,2,1,1,1,5,4,,,,4,,,1,2,2
106,3,3,2,3,3,1,3,3,3,1,3,1,3,2,3,2,3,6,3,11,9,7,3,6,8,2,1,7,8,7,2,2,3,5,4,3,3,,,3,,,,1,1,1
112,3,2,2,2,3,1,3,3,3,3,3,3,2,2,3,2,1,2,10,8,3,8,12,11,4,7,12,11,2,6,2,1,3,5,1,2,5,,,,,5,,1,2,2
116,1,3,3,2,3,1,3,3,2,1,3,3,1,2,2,2,1,6,3,8,7,10,4,8,4,8,7,1,7,8,1,1,3,5,3,1,6,,,,,,6,1,2,2
120,1,2,1,1,2,1,2,2,1,2,3,1,3,1,1,2,3,0,2,12,4,7,4,8,3,11,1,6,2,5,1,1,3,5,4,3,5,,,,,5,,1,3,2
125,1,2,1,3,2,1,2,1,1,2,3,2,1,1,2,2,1,5,1,8,3,5,8,10,7,11,1,10,8,11,1,2,3,8,4,1,6,,,,,,6,1,2,1
126,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,3,6,3,11,7,6,3,6,2,12,7,12,7,11,1,2,3,5,4,3,"3, 4",,,3,4,,,1,2,1
131,3,3,3,2,3,3,3,2,3,1,3,3,3,3,3,2,1,1,4,11,4,12,2,10,3,9,3,12,1,12,2,1,3,8,3,1,6,,,,,,6,1,2,3
133,3,3,2,2,3,1,3,3,3,3,3,2,2,2,2,2,1,3,12,7,1,4,11,5,1,2,3,9,3,2,1,3,2,5,1,3,3,,,3,,,,1,3,2
134,3,3,2,3,3,1,3,1,2,1,3,2,1,1,2,3,3,4,8,1,2,10,2,1,6,7,3,12,6,11,1,3,2,5,1,4,6,,,,,,6,1,3,1
135,3,3,3,2,2,3,3,2,3,3,3,3,2,3,2,2,3,5,3,8,3,4,2,6,11,7,1,9,11,5,1,4,2,5,2,4,1,1,,,,,,1,2,3
136,2,3,3,3,3,3,3,3,2,1,3,3,2,2,3,2,3,6,3,11,7,9,3,6,2,12,7,5,7,11,1,5,2,5,1,2,6,,,,,,6,1,3,2
137,3,3,2,2,3,3,3,3,2,1,3,3,3,2,2,3,3,7,10,12,1,2,7,2,3,4,1,11,1,8,2,2,2,5,1,4,6,,,,,,6,1,1,4
138,1,1,1,1,2,2,3,1,2,1,1,2,2,3,2,1,2,8,1,11,7,9,6,11,2,12,7,11,1,12,1,4,3,8,4,4,"1, 2",1,2,,,,,3,5,5
139,2,3,2,2,2,1,3,2,2,3,2,3,2,2,2,2,1,9,1,5,7,11,2,10,4,10,1,10,1,10,2,2,3,1,4,1,6,,,,,,6,1,4,4
146,3,3,3,3,3,1,3,3,2,1,3,3,3,2,3,3,3,6,3,11,6,7,3,6,2,12,1,7,8,7,2,2,2,5,1,3,6,,,,,,6,1,2,1
147,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,2,3,7,10,11,1,2,8,2,3,5,1,11,8,5,2,4,2,5,4,5,"1, 2",1,2,,,,,3,4,4
148,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,8,11,2,9,7,8,5,12,2,3,7,8,5,1,3,1,5,1,3,6,,,,,,6,1,3,2
149,1,1,2,2,2,3,3,2,2,1,2,2,2,2,2,2,1,9,1,5,2,7,2,5,8,10,1,6,1,7,2,1,2,5,1,4,5,,,,,5,,1,1,1
150,3,1,1,3,3,1,2,2,3,3,2,1,2,3,3,2,1,0,3,12,4,11,4,7,3,10,4,5,3,11,2,1,2,5,3,5,6,,,,,,6,1,1,1
151,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,3,1,11,9,12,5,10,9,3,7,12,7,11,1,1,3,2,5,1,1,1,1,,,,,,1,2,1
152,2,1,2,2,3,1,3,2,2,3,1,2,2,2,2,2,2,2,1,7,6,12,1,12,1,7,12,5,6,7,2,2,2,5,4,3,6,,,,,,6,1,4,3
153,2,2,2,2,2,1,2,1,2,2,1,2,1,3,3,2,3,3,2,12,4,6,5,11,2,10,3,6,3,2,1,2,1,5,1,1,"5, 6",,,,,5,6,2,2,2
156,2,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,2,6,3,8,7,10,6,3,2,12,12,7,8,7,1,2,1,5,1,2,5,,,,,5,,1,2,2
157,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,3,7,4,11,2,1,8,7,4,5,4,11,8,1,2,1,2,5,3,2,3,,,3,,,,1,1,3
160,2,1,2,2,2,2,1,1,2,1,1,3,2,2,2,2,2,0,3,12,7,11,6,4,3,11,1,5,3,11,2,5,1,5,1,4,"1, 2",1,2,,,,,3,3,5
161,2,2,2,2,2,1,2,2,2,3,1,2,1,2,1,2,2,1,4,9,10,5,2,9,3,9,3,7,6,1,2,5,2,5,1,4,2,,2,,,,,4,6,11
162,3,3,2,2,1,2,1,2,1,3,2,3,1,2,3,3,1,2,8,1,8,12,11,12,7,1,12,9,2,6,2,4,2,5,1,4,2,,2,,,,,3,5,11
163,3,3,3,3,1,3,3,3,1,3,3,3,3,3,1,1,2,3,12,5,1,4,10,6,11,2,3,12,4,3,2,4,2,5,4,4,2,,2,,,,,3,4,5
164,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,4,1,12,5,6,5,9,7,9,3,12,4,11,2,4,2,5,1,4,"1, 2",1,2,,,,,3,5,4
165,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,5,3,9,3,5,8,10,8,9,3,9,8,5,2,4,2,5,1,4,"1, 2",1,2,,,,,3,1,4
166,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,6,3,11,7,10,3,6,2,12,7,12,7,11,2,4,2,5,4,4,"1, 2",1,2,,,,,3,3,12
169,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9,3,5,3,11,2,10,4,10,3,10,8,10,2,4,2,5,4,4,"1, 2",1,2,,,,,3,1,4
170,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,0,3,12,4,7,6,7,3,12,6,5,3,11,2,3,2,5,1,2,1,1,,,,,,1,3,3
171,3,3,2,2,3,3,3,1,3,2,3,1,2,3,2,3,1,1,6,9,12,5,2,10,3,9,12,7,1,12,2,2,2,5,1,1,5,,,,,5,,1,2,2
175,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,3,9,3,7,6,10,8,11,3,10,2,11,2,3,2,5,1,2,1,1,,,,,,1,3,3
176,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,6,3,5,10,7,3,6,2,12,5,7,8,10,1,3,2,5,1,1,6,,,,,,6,1,5,4
177,1,3,3,3,3,1,2,3,2,1,1,1,2,2,2,2,1,7,10,12,2,7,8,7,3,5,1,11,3,5,1,4,2,5,1,3,"1, 2",1,2,,,,,3,4,3
178,2,3,2,2,2,1,3,3,3,3,2,3,3,3,2,2,1,8,2,1,5,7,8,11,8,9,3,7,8,1,2,1,2,5,3,4,6,,,,,,6,1,1,2
179,2,2,1,1,1,1,3,2,2,1,1,3,2,2,2,1,2,9,3,4,3,11,2,5,8,4,3,6,8,10,2,4,2,5,4,5,"1, 2",1,2,,,,,4,3,3
180,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,12,7,4,7,3,11,1,5,3,2,1,3,2,5,1,4,6,,,,,,6,1,3,11
182,3,3,3,3,3,1,2,2,2,3,3,2,3,3,2,2,3,2,8,1,3,12,11,12,12,7,9,11,6,7,1,2,2,5,2,3,"5, 6",,,,,5,6,1,2,2
183,3,3,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,2,7,4,6,5,10,2,10,3,12,3,8,2,2,2,5,1,3,6,,,,,,6,1,2,1
185,1,2,1,3,1,1,3,3,1,1,2,3,1,2,1,1,1,5,8,9,3,7,2,10,8,7,3,9,2,5,2,1,2,5,1,4,"4, 5",,,,4,5,,6,1,4
187,3,3,3,3,1,3,3,3,2,3,1,3,2,2,3,2,3,7,12,10,1,7,8,7,3,5,1,11,3,5,2,1,2,5,1,4,5,,,,,5,,1,2,2
188,2,2,2,2,2,1,1,1,1,2,1,1,1,3,2,3,1,8,2,11,9,7,8,11,8,9,3,11,8,12,1,2,2,5,1,5,6,,,,,,6,1,2,2
189,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,9,3,5,7,11,10,5,8,10,3,10,7,10,2,2,2,5,2,3,6,,,,,,6,1,2,2
191,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,6,9,12,5,2,10,3,9,12,10,6,11,2,2,2,5,1,4,"1, 3",1,,3,,,,1,3,3
192,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,7,8,6,1,11,1,7,5,11,2,6,2,2,2,5,1,2,1,1,,,,,,1,3,6
193,2,2,3,3,3,1,3,3,3,1,3,3,3,2,3,2,3,3,12,7,1,2,11,5,1,10,3,9,3,2,2,2,2,5,4,5,6,,,,,,6,1,2,2
194,2,3,2,2,1,1,3,3,3,1,1,3,2,2,2,2,1,4,1,6,5,6,2,9,5,6,3,12,4,6,1,3,2,7,3,2,6,,,,,,6,1,3,3
195,3,2,3,2,3,3,3,2,3,2,3,1,2,2,3,2,1,5,3,9,3,7,2,10,8,7,3,10,2,11,1,2,2,5,1,2,5,,,,,5,,1,3,3
197,2,2,3,2,2,2,1,2,2,2,3,1,1,2,2,2,2,7,4,11,1,7,8,7,9,5,1,10,1,5,2,1,2,5,3,2,5,,,,,5,,6,1,2
198,3,3,3,3,3,1,3,3,3,1,3,1,3,2,3,2,3,8,1,9,10,7,8,6,8,9,3,7,8,5,2,1,2,1,4,5,"3, 4, 5",,,3,4,5,,1,2,1
200,2,2,1,1,1,3,3,2,1,1,3,3,1,1,1,3,2,0,3,10,12,7,8,4,3,10,1,6,3,5,1,1,2,1,1,2,3,,,3,,,,1,2,2
201,3,2,1,2,1,2,2,2,3,3,3,3,3,3,3,3,3,1,11,4,12,5,2,4,3,6,7,3,6,1,3,4,3,5,4,3,"2, 3",,2,3,,,,3,3,2
202,1,1,1,3,2,1,1,1,3,2,1,1,1,3,2,2,1,2,8,1,3,12,9,12,4,12,5,11,2,12,2,2,2,1,4,3,"3, 6",,,3,,,6,1,1,5
203,3,1,2,2,2,3,1,1,2,2,1,1,1,3,3,3,2,3,12,2,4,1,11,6,1,10,12,9,4,2,2,1,1,5,4,3,5,,,,,5,,1,2,2
220,3,1,2,2,2,1,3,3,2,1,3,3,2,2,2,3,3,0,12,3,4,12,4,8,3,10,4,6,3,11,2,1,3,5,4,2,4,,,,4,,,1,3,3
221,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,9,11,10,12,9,4,3,6,3,12,1,12,1,5,3,5,4,2,1,1,,,,,,1,6,4
224,1,2,2,2,1,3,3,2,3,1,1,3,2,3,3,2,2,4,1,12,2,10,1,9,7,9,2,12,4,11,2,1,1,8,4,2,1,1,,,,,,1,3,3
225,1,3,3,2,3,1,3,3,3,1,3,1,1,2,3,2,3,5,8,9,3,7,8,10,8,11,3,10,8,11,1,1,1,1,4,2,5,,,,,5,,1,3,3
226,3,3,2,2,2,1,2,3,2,1,1,3,2,2,2,2,3,6,3,8,6,10,3,8,2,8,1,7,11,8,1,1,3,5,3,1,6,,,,,,6,1,1,2
228,3,3,2,2,2,3,3,3,3,2,3,2,1,2,2,2,2,8,1,11,9,5,8,11,8,12,3,7,1,5,1,2,2,5,1,5,5,,,,,5,,1,1,2
230,1,3,3,3,3,1,2,3,3,1,3,3,3,2,3,2,3,0,3,10,4,7,4,7,3,10,4,1,2,11,1,1,1,5,4,2,5,,,,,5,,1,3,2
233,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,2,3,3,12,2,1,2,11,5,11,2,3,6,3,8,1,3,3,5,4,1,5,,,,,5,,1,3,1
238,3,2,1,2,3,1,3,2,3,1,3,1,3,2,3,2,3,8,9,2,9,7,8,5,9,12,3,7,8,12,2,2,3,1,4,2,5,,,,,5,,1,3,2
247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,12,4,4,1,8,9,9,5,11,10,5,1,1,1,1,1,1,1,"1, 2",1,2,,,,,2,4,2
248,2,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,1,8,9,2,10,7,5,6,9,2,7,11,12,5,2,4,2,5,3,4,4,,,,4,,,4,3,4
261,3,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,3,1,6,11,4,12,2,10,6,9,3,12,1,12,1,3,3,3,4,2,6,,,,,,6,1,2,2
266,3,3,3,3,3,3,3,3,2,1,3,3,3,2,3,3,3,6,3,8,9,7,3,8,2,8,1,12,7,8,1,3,3,1,4,2,3,,,3,,,,1,2,3
